"_id","_labels","class_type","email","id","is_admin","name","password_hash","phone_number","price","seats","_start","_end","_type","buy_date","time"
"4",":Air_class","Economy","","27","","","","","200","300",,,,,
"5",":Air_class","Business","","28","","","","","400","300",,,,,
"6",":Air_class","First","","29","","","","","800","300",,,,,
"7",":Air_class","Economy","","30","","","","","200","300",,,,,
"8",":Air_class","Business","","31","","","","","400","300",,,,,
"9",":Air_class","First","","32","","","","","800","300",,,,,
"10",":Air_class","Economy","","33","","","","","200","300",,,,,
"11",":Air_class","Business","","34","","","","","400","300",,,,,
"12",":Air_class","First","","35","","","","","800","300",,,,,
"13",":Air_class","Economy","","36","","","","","200","300",,,,,
"14",":Air_class","Business","","37","","","","","400","300",,,,,
"15",":Air_class","First","","38","","","","","800","300",,,,,
"16",":Air_class","Economy","","39","","","","","200","300",,,,,
"17",":Air_class","Business","","40","","","","","400","300",,,,,
"18",":Air_class","First","","41","","","","","800","300",,,,,
"19",":Air_class","Economy","","42","","","","","200","300",,,,,
"20",":Air_class","Business","","43","","","","","400","300",,,,,
"21",":Air_class","First","","44","","","","","800","300",,,,,
"22",":Air_flight","","","20","","","","","","",,,,,
"23",":Air_flight","","","21","","","","","","",,,,,
"24",":Air_flight","","","22","","","","","","",,,,,
"25",":Air_flight","","","23","","","","","","",,,,,
"26",":Air_flight","","","24","","","","","","",,,,,
"27",":Air_flight","","","25","","","","","","",,,,,
"28",":City","","","16","","Киев","","","","",,,,,
"29",":City","","","18","","Минск","","","","",,,,,
"30",":City","","","72","","Белград","","","","",,,,,
"31",":Person","","kortev@yandex.ru","26","true","Yura123","pbkdf2:sha256:150000$EKHi2nIB$bef1c410f96881196c95f984ff35c7705c87e3cf72cfd46f9af7d9f1bf0bb5e3","89819481550.0","","",,,,,
"32",":Person","","fdsf@mail.ru","101","false","User1","pbkdf2:sha256:150000$vOX4eejq$f4d2b3f89ab286a2d571feeb30fe1b278aaf7bab0ccdb2dd85d244b7a70c5d46","","","",,,,,
"33",":Person","","fsf@gdf.ru","102","false","User2","pbkdf2:sha256:150000$lFsHmCYf$dbb2a9de3853a85f12fb3c20e8fd19d0ad6c7e3499ba995f23033e5d43ab99ae","","","",,,,,
"34",":Person","","adming@gm.ru","103","true","admin","pbkdf2:sha256:150000$uKFVumra$3e2a9a6db80ff85080e177a861dc799f4795880aa654abb8e520128c4d82d58b","","","",,,,,
"35",":Person","","fsd@gmail.ru","104","false","User3","pbkdf2:sha256:150000$EGCt487c$8f66e81d20773ee19a279212e62201dffe54ee96b2f50703eb5c8ef0eb5c6366","","","",,,,,
"36",":Person","","fds@gf.ru","105","false","User4","pbkdf2:sha256:150000$SMr6ZhmW$e0781d7ce447853882551c57000454814ae8e360072f2a9dd6e076879d0f9e68","","","",,,,,
"37",":Station","","","64","","Киевский","","","","",,,,,
"38",":Station","","","65","","Белорусский","","","","",,,,,
"39",":Station","","","66","","Киевский","","","","",,,,,
"40",":Station","","","67","","Ленинградский","","","","",,,,,
"41",":Station","","","68","","Московский","","","","",,,,,
"42",":Station","","","69","","Витебский","","","","",,,,,
"43",":Station","","","70","","Центральный вокзал","","","","",,,,,
"44",":Station","","","71","","Железнодорожный вокзал","","","","",,,,,
"45",":Station","","","73","","Земун","","","","",,,,,
"46",":Station","","","74","","Ванзе","","","","",,,,,
"47",":Station","","","75","","Центральный вокзал Киев-Пассажирский","","","","",,,,,
"48",":Station","","","76","","Минск-Пассажирский","","","","",,,,,
"49",":Train_class","Купэ","","83","","","","","200","300",,,,,
"50",":Train_class","Плацкарт","","84","","","","","300","300",,,,,
"51",":Train_class","СВ","","85","","","","","500","300",,,,,
"52",":Train_class","Купэ","","86","","","","","200","300",,,,,
"53",":Train_class","Плацкарт","","87","","","","","300","300",,,,,
"54",":Train_class","СВ","","88","","","","","500","300",,,,,
"55",":Train_class","Купэ","","89","","","","","200","300",,,,,
"56",":Train_class","Плацкарт","","90","","","","","300","300",,,,,
"57",":Train_class","СВ","","91","","","","","500","300",,,,,
"58",":Train_class","Купэ","","92","","","","","200","300",,,,,
"59",":Train_class","Плацкарт","","93","","","","","300","300",,,,,
"60",":Train_class","СВ","","94","","","","","500","300",,,,,
"61",":Train_class","Купэ","","95","","","","","200","300",,,,,
"62",":Train_class","Плацкарт","","96","","","","","300","300",,,,,
"63",":Train_class","СВ","","97","","","","","500","300",,,,,
"64",":Train_class","Купэ","","98","","","","","200","300",,,,,
"65",":Train_class","Плацкарт","","99","","","","","300","300",,,,,
"66",":Train_class","СВ","","100","","","","","500","300",,,,,
"67",":Train_ride","","","77","","","","","","",,,,,
"68",":Train_ride","","","78","","","","","","",,,,,
"69",":Train_ride","","","79","","","","","","",,,,,
"70",":Train_ride","","","80","","","","","","",,,,,
"71",":Train_ride","","","81","","","","","","",,,,,
"72",":Train_ride","","","82","","","","","","",,,,,
"156",":Airport","","","1","","Шереметьево","","","","",,,,,
"157",":Airport","","","2","","Внуково","","","","",,,,,
"158",":Airport","","","3","","Остафьево","","","","",,,,,
"159",":Airport","","","4","","Домодедово","","","","",,,,,
"160",":Airport","","","6","","Пулково","","","","",,,,,
"161",":Airport","","","7","","Левашово","","","","",,,,,
"162",":Airport","","","9","","Схипхол","","","","",,,,,
"163",":Airport","","","11","","Элефтериос Венизелос","","","","",,,,,
"164",":Airport","","","13","","Никола Тесла Белград","","","","",,,,,
"165",":Airport","","","15","","Берлин-Тегель","","","","",,,,,
"166",":Airport","","","17","","Киев (Жуляны)","","","","",,,,,
"167",":Airport","","","19","","Национальный аэропорт «Минск»","","","","",,,,,
"168",":City","","","0","","Москва","","","","",,,,,
